567,156Tb,91,65,4.622*10^5,beta+,156
568,155Tb,90,65,4.596*10^5,beta+,155
569,133Xe,79,54,4.530*10^5,beta-,133
570,183Ta,110,73,4.406*10^5,beta-,183
571,210Bi,127,83,4.330*10^5,"beta-, alpha",210
572,245Bk,148,97,4.268*10^5,"beta+, alpha",245
573,119mTe,67,52,4.061*10^5,"beta+, IT",119
574,146Eu,83,63,3.983*10^5,beta+,146
575,47Ca,27,20,3.919*10^5,beta-,47
576,234Np,141,93,3.802*10^5,beta+,234
577,101mRh,56,45,3.74*10^5,"ε, IT",101
578,193mPt,115,78,3.74*10^5,IT,193
579,96Tc,53,43,3.698*10^5,beta+,96
580,231U,139,92,3.629*10^5,"beta+, alpha",231
581,175Yb,105,70,3.616*10^5,beta-,175
582,124I,71,53,3.608*10^5,beta+,124
583,195mPt,117,78,3.46*10^5,IT,195
584,127Sb,76,51,3.326*10^5,beta-,127
585,222Rn,136,86,3.304*10^5,alpha,222
586,186Re,111,75,3.21*10^5,"beta-,e",186
587,224Ra,136,88,3.138*10^5,alpha,224
588,100Pd,54,46,3.136*10^5,beta+,100
589,95mNb,54,41,3.11*10^5,"IT, beta-",95
590,166Dy,100,66,2.938*10^5,beta-,166
591,140Nd,80,60,2.912*10^5,beta+,140
592,47Sc,26,21,2.894*10^5,beta-,47
593,87Y,48,39,2.873*10^5,beta+,87
594,89Zr,49,40,2.823*10^5,beta+,89
595,67Ga,36,31,2.819*10^5,beta+,67
596,132Te,80,52,2.768*10^5,beta-,132
597,134Ce,76,58,2.730*10^5,beta+,134
598,199Au,120,79,2.712*10^5,beta-,199
599,201Tl,120,81,2.625*10^5,beta+,201
600,253Fm,153,100,2.592*10^5,"beta+, alpha",253
601,191Pt,113,78,2.473*10^5,beta+,191
602,111In,62,49,2.423*10^5,beta+,111
603,97Ru,53,44,2.411*10^5,beta+,97
604,99Mo,57,42,2.375*10^5,beta-,99
605,122Sb,71,51,2.353*10^5,"beta-, beta+",122
606,71As,38,33,2.350*10^5,beta+,71
607,198Au,119,79,2.329*10^5,beta-,198
608,197Hg,117,80,2.309*10^5,beta+,197
609,90Y,51,39,2.306*10^5,beta-,90
610,182Re,107,75,2.304*10^5,beta+,182
611,172Tm,103,69,2.290*10^5,beta-,172
612,67Cu,38,29,2.226*10^5,beta-,67
613,44mSc,23,21,2.110*10^5,"IT, beta+",44
614,128Ba,72,56,2.100*10^5,beta+,128
615,77Br,42,35,2.053*10^5,beta+,77
616,166Yb,96,70,2.041*10^5,beta+,166
617,177Ta,104,73,2.036*10^5,beta+,177
618,239Np,146,93,2.036*10^5,beta-,239
619,153Tb,88,65,2.022*10^5,beta+,153
620,66Ni,38,28,1.966*10^5,beta-,66
621,247Pu,153,94,1.961*10^5,beta-,247
622,198m2Au,119,79,1.96*10^5,IT,198
623,115Cd,67,48,1.92*10^5,beta-,115
624,149Pm,88,61,1.911*10^5,beta-,149
625,133mXe,79,54,1.89*10^5,IT,133
626,203Pb,121,82,1.869*10^5,beta+,203
627,238Np,145,93,1.829*10^5,beta-,238
628,240Am,145,95,1.829*10^5,"beta+, alpha",240
629,172Er,104,68,1.775*10^5,beta-,172
630,170Lu,99,71,1.738*10^5,beta+,170
631,72Zn,42,30,1.674*10^5,beta-,72
632,153Sm,91,62,1.666*10^5,beta-,153
633,202Pt,124,78,1.584*10^5,beta-,202
634,48Sc,27,21,1.572*10^5,beta-,48
635,246Bk,149,97,1.555*10^5,"beta+, alpha",246
636,195mHg,115,80,1.498*10^5,"IT, beta+",195
637,188Ir,111,77,1.494*10^5,beta+,188
638,140La,83,57,1.450*10^5,beta-,140
639,254mEs,155,99,1.41*10^5,"beta-, IT, alpha, EC, SF",254
640,69Ge,37,32,1.406*10^5,beta+,69
641,133mBa,77,56,1.4*10^5,"IT,e",133
642,77As,44,33,1.398*10^5,beta-,77
643,119Sb,68,51,1.375*10^5,beta+,119
644,147Gd,83,64,1.370*10^5,beta+,147
645,194Au,115,79,1.369*10^5,beta+,194
646,229Pa,138,91,1.296*10^5,"beta+, alpha",229
647,246Cf,148,98,1.285*10^5,"alpha, beta+, SF",246
648,57Ni,29,28,1.282*10^5,beta+,57
649,105Rh,60,45,1.273*10^5,beta-,105
650,82Br,47,35,1.270*10^5,beta-,82
651,79Kr,43,36,1.261*10^5,beta+,79
652,137mCe,79,58,1.238*10^5,"IT, beta+",137
653,169Lu,98,71,1.226*10^5,beta+,169
654,143Ce,85,58,1.189*10^5,beta-,143
655,251Es,152,99,1.188*10^5,"beta+, alpha",251
656,83Sr,45,38,1.167*10^5,beta+,83
657,129Cs,74,55,1.154*10^5,beta+,129
658,268Db,163,105,1.152*10^5,"SF, EC, alpha[33]",268
659,232Pa,141,91,1.132*10^5,"beta-, beta+",232
660,193Os,117,76,1.084*10^5,beta-,193
661,165Tm,96,69,1.082*10^5,beta+,165
662,131mTe,79,52,1.080*10^5,"beta-, IT",131
663,226Ac,137,89,1.057*10^5,"beta-, beta+, alpha",226
664,160Er,92,68,1.029*10^5,beta+,160
665,151Pm,90,61,1.022*10^5,beta-,151
666,135mBa,79,56,1.01*10^5,IT,135
667,121Sn,71,50,9.73*10^4,beta-,121
668,166Ho,99,67,9.65*10^4,beta-,166
669,76As,43,33,9.454*10^4,beta-,76
670,200Tl,119,81,9.396*10^4,beta+,200
671,72As,39,33,9.360*10^4,beta+,72
672,231Th,141,90,9.187*10^4,"beta-, alpha",231
673,252Fm,152,100,9.140*10^4,"alpha, SF",252
674,156mTb,91,65,8.78*10^4,IT,156
675,189Re,114,75,8.748*10^4,beta-,189
676,197mHg,117,80,8.568*10^4,IT,197
677,187W,113,74,8.539*10^4,beta-,187
678,248mBk,151,97,8.532*10^4,"beta-,EC ",248
679,173Hf,101,72,8.496*10^4,beta+,173
680,96Nb,55,41,8.406*10^4,beta-,96
681,154m2Tb,89,65,8.172*10^4,"beta+,IT ",154
682,236mNp,143,93,8.1*10^4,"EC,beta- ",236
683,43K,24,19,8.028*10^4,beta-,43
684,182Os,106,76,7.956*10^4,beta+,182
685,228Pa,137,91,7.920*10^4,"beta+,alpha ",228
686,48Cr,24,24,7.762*10^4,beta+,48
687,154Tb,89,65,7.74*10^4,"beta+,beta- ",154
688,200Pb,118,82,7.740*10^4,beta+,200
689,112Pd,66,46,7.571*10^4,beta-,112
690,28Mg,16,12,7.529*10^4,beta-,28
691,100Rh,55,45,7.488*10^4,beta+,100
692,133I,80,53,7.488*10^4,beta-,133
